exp_id,run_id,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Biofilm 1,Rep 1,signal_SWV,0.15133281349272112,0.003987517033535568,37.95164063751736,1.0558078755295585e-14,0.1427183066763594,0.15994732030908285
Biofilm 1,Rep 2,signal_SWV,0.10450850862358545,0.003486520460239717,29.975016586135258,2.1955048232799136e-13,0.09697633910116733,0.11204067814600356
Biofilm 1,Rep 3,signal_SWV,0.12030802635071242,0.007903065877980519,15.222956281550685,1.15062425522434e-9,0.10323449053796271,0.13738156216346212
Biofilm 2,Rep 1,signal_SWV,0.2791414545281664,0.0036863036146614595,75.7239456397305,1.384388334106529e-18,0.2711776797408463,0.28710522931548654
Biofilm 2,Rep 2,signal_SWV,0.2125193854047006,0.00772598148361632,27.507105195031624,6.600651502154055e-13,0.19582841716708402,0.2292103536423172
Biofilm 2,Rep 3,signal_SWV,0.22300859606929108,0.0077181032435650445,28.894222975732298,3.515614605299114e-13,0.20633464773454935,0.2396825444040328
Biofilm 1,Rep 1,(Intercept),-2.8096300111255093e-8,1.93778481585755e-9,-14.49918478116535,2.0973229230425255e-9,-3.228262969040327e-8,-2.390997053210692e-8
Biofilm 1,Rep 2,(Intercept),-2.088311762638571e-8,1.9791384948461956e-9,-10.551620152286814,9.616474551764001e-8,-2.5158786397450376e-8,-1.660744885532104e-8
Biofilm 1,Rep 3,(Intercept),-5.2760555730183117e-8,5.486193472751253e-9,-9.616969578676635,2.8252456092526633e-7,-6.461275615200567e-8,-4.090835530836055e-8
Biofilm 2,Rep 1,(Intercept),-2.8398635263160763e-8,1.5749734905563518e-9,-18.03118302208952,1.3983909048897904e-10,-3.1801158626918504e-8,-2.4996111899403026e-8
Biofilm 2,Rep 2,(Intercept),-2.27112214103741e-8,2.1176544198491535e-09,-10.724706164281463,7.943228974175678e-8,-2.728613564423611e-8,-1.813630717651209e-8
Biofilm 2,Rep 3,(Intercept),-2.8701764462247064e-8,3.0738864887391397e-9,-9.337288337546934,3.9627116076885997e-7,-3.534249248604357e-8,-2.206103643845056e-8
