exp,run,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1,1,b,2.8459356749415374e-6,3.726318700783378e-8,76.37392030754752,9.461500125199411e-20,2.766014087893041e-6,2.9258572617877683e-6
1,2,b,1.8397061704894684e-6,3.435956133233755e-8,53.54277235076416,1.3437768849207445e-17,1.7660122411831103e-6,1.913400100401251e-6
1,3,b,2.060325487611062e-6,3.3211012059329605e-8,62.03741951405776,1.7239418769413009e-18,1.9890949500072115e-6,2.1315560260406644e-6
2,1,b,2.1194715799012563e-6,1.8012264554633032e-8,117.66824618152167,2.2486057359918477e-22,2.080839111673294e-6,2.158104046696898e-6
2,2,b,4.3024014925083515e-6,1.0320548645612332e-7,41.687720684669905,4.375635912794989e-16,4.0810477370240695e-6,4.523755246473189e-6
2,3,b,2.266385144972581e-6,3.246305666411541e-8,69.81428669586244,3.316107260215531e-19,2.1967588142766814e-6,2.3360114725734136e-6
1,1,a,-3.8111653345951483e-7,1.6351988912922763e-8,-23.307044512384877,1.338672153409233e-12,-4.161880612282597e-7,-3.4604500566110455e-7
1,2,a,-2.3513408289614508e-7,1.5085398011975633e-8,-15.58686636636849,3.059794138735589e-10,-2.674890439548488e-7,-2.027791222642298e-7
1,3,a,-2.0100515928204727e-7,1.4597765518825334e-8,-13.769584051944816,1.570517042160844e-9,-2.3231425317646363e-7,-1.6969606605494797e-7
2,1,a,-8.298458371616982e-8,7.893823738994018e-9,-10.512596488092512,5.0118561447672393e-8,-9.991515209027513e-8,-6.605401455403312e-8
2,2,a,-5.964178955355276e-7,4.504288583617474e-8,-13.241111986135973,2.6186196071522743e-9,-6.93025278442179e-7,-4.998105115908015e-7
2,3,a,7.81117136956467e-8,1.4236686420216324e-8,5.486649869925267,8.012101963468544e-5,4.757706067748236e-8,1.0864636865171655e-7
